rideable_type,started_at,start_date,start_day_of_the_week,start_time,ended_at,end_date,end_day_of_the_week,end_time,start_station_name,end_station_name
classic_bike,2/2/2024 14:07,2/2/2024,Friday,14:07:51,2/2/2024 14:07,2/2/2024,Friday,14:07:00,Michigan Ave & Ida B Wells Dr,Michigan Ave & Ida B Wells Dr
electric_bike,2/8/2024 12:05,2/8/2024,Thursday,12:05:08,2/8/2024 12:05,2/8/2024,Thursday,12:05:00,Michigan Ave & Ida B Wells Dr,Michigan Ave & Ida B Wells Dr
classic_bike,2/2/2024 11:39,2/2/2024,Friday,11:39:16,2/2/2024 11:40,2/2/2024,Friday,11:40:00,Michigan Ave & Ida B Wells Dr,Michigan Ave & Ida B Wells Dr
classic_bike,2/27/2024 12:40,2/27/2024,Tuesday,12:40:24,2/27/2024 12:48,2/27/2024,Tuesday,12:48:00,Michigan Ave & Ida B Wells Dr,Franklin St & Jackson Blvd
classic_bike,2/26/2024 19:13,2/26/2024,Monday,19:13:14,2/26/2024 19:14,2/26/2024,Monday,19:14:00,Michigan Ave & Ida B Wells Dr,Michigan Ave & Ida B Wells Dr
classic_bike,2/2/2024 18:15,2/2/2024,Friday,18:15:44,2/2/2024 18:16,2/2/2024,Friday,18:16:00,Michigan Ave & Ida B Wells Dr,Michigan Ave & Ida B Wells Dr
classic_bike,2/26/2024 19:13,2/26/2024,Monday,19:13:39,2/26/2024 19:14,2/26/2024,Monday,19:14:00,Michigan Ave & Ida B Wells Dr,Michigan Ave & Ida B Wells Dr
electric_bike,2/6/2024 10:26,2/6/2024,Tuesday,10:26:22,2/6/2024 10:41,2/6/2024,Tuesday,10:41:00,Michigan Ave & Ida B Wells Dr,McClurg Ct & Erie St
electric_bike,2/23/2024 14:14,2/23/2024,Friday,14:14:35,2/23/2024 14:23,2/23/2024,Friday,14:23:00,Michigan Ave & Ida B Wells Dr,Clinton St & Madison St
electric_bike,2/15/2024 15:15,2/15/2024,Thursday,15:15:07,2/15/2024 15:22,2/15/2024,Thursday,15:22:00,Michigan Ave & Ida B Wells Dr,Clinton St & Madison St
